Date,Day of the week,App (Use all CAPITALS),Minutes,Category
8/24/23,Thursday,FACEBOOK,46,Social Media
8/24,Thursday,SPOTIFY,37,Entertainment
8/24,Thursday,CLOCK,34,Other
8/24,Thursday,CHROME,28,Entertainment
8/24,Thursday,B612,18,Other
8/24,Thursday,YOUTUBE,17,Entertainment
8/24,Thursday,STARMAKER,9,Other
8/24,Thursday,KAISER,8,Other
8/24,Thursday,MYNETDIARY,4,Other
8/24,Thursday,GMAIL,1,Other
8/24,Thursday,PHOTOS,1,Other
8/24,Thursday,MESSAGES,1,Social Media
8/25,Friday,YOUTUBE,80,Entertainment
8/25,Friday,STARMAKER,64,Other
8/25,Friday,CHROME,58,Entertainment
8/25,Friday,SPOTIFY,45,Entertainment
8/25,Friday,FACEBOOK,32,Social Media
8/25,Friday,GMAIL,8,Other
8/25,Friday,B612,6,Other
8/25,Friday,MYNETDIARY,2,Other
8/26,Saturday,CLOCK,63,Other
8/26,Saturday,MESSAGES,36,Social Media
8/26,Saturday,FACEBOOK,34,Social Media
8/26,Saturday,KAISER,16,Other
8/26,Saturday,B612,11,Other
8/26,Saturday,STARMAKER,6,Other
8/26,Saturday,MYNETDIARY,5,Other
8/26,Saturday,CHROME,4,Entertainment
8/26,Saturday,GMAIL,2,Other
8/27,Sunday,FACEBOOK,57,Social Media
8/27,Sunday,B612,45,Other
8/27,Sunday,YOUTUBE,38,Entertainment
8/27,Sunday,PHONE,36,Other
8/27,Sunday,CLOCK,35,Other
8/27,Sunday,MESSENGER,25,Social Media
8/27,Sunday,MYNETDIARY,6,Other
8/27,Sunday,PHOTOS,4,Other
8/27,Sunday,CHROME,2,Entertainment
8/27,Sunday,GMAIL,2,Other
8/27,Sunday,MESSENGER,1,Social Media
8/27,Sunday,KAISER,1,Other
8/28,Monday,MESSENGER,91,Social Media
8/28,Monday,SETTINGS,89,Other
8/28,Monday,CAMERA,30,Other
8/28,Monday,YOUTUBE,29,Entertainment
8/28,Monday,SPOTIFY,26,Entertainment
8/28,Monday,FACEBOOK,13,Social Media
8/28,Monday,CHROME,11,Entertainment
8/28,Monday,MYNETDIARY,6,Other
8/28,Monday,GMAIL,5,Other
8/28,Monday,B612,3,Other
8/28,Monday,PLAY STORE,1,Entertainment
8/29,Tuesday,GMAIL,70,Other
8/29,Tuesday,MESSAGES,52,Social Media
8/29,Tuesday,SETTINGS,50,Other
8/29,Tuesday,YOUTUBE,40,Entertainment
8/29,Tuesday,STARMAKER,29,Other
8/29,Tuesday,B612,24,Other
8/29,Tuesday,FACEBOOK,19,Social Media
8/29,Tuesday,CHROME,12,Entertainment
8/29,Tuesday,MYNETDIARY,1,Other
8/29,Tuesday,CAMERA,1,Other
8/30,Wednesday,CLOCK,80,Other
8/30,Wednesday,CHROME,77,Entertainment
8/30,Wednesday,FACEBOOK,38,Social Media
8/30,Wednesday,KAISER,28,Other
8/30,Wednesday,STARMAKER,5,Other
8/30,Wednesday,MYNETDIARY,3,Other
8/30,Wednesday,B612,2,Other
8/31,Thursday,CLOCK,120,Other
8/31,Thursday,FACEBOOK,70,Social Media
8/31,Thursday,CHROME,67,Entertainment
8/31,Thursday,B612,34,Other
8/31,Thursday,MESSAGES,27,Other
8/31,Thursday,YELP,6,Travel
8/31,Thursday,MYNETDIARY,5,Other
8/31,Thursday,PHOTOS,5,Other
8/31,Thursday,INSTAGRAM,4,Social Media
8/31,Thursday,YOUTUBE,4,Entertainment
8/31,Thursday,CAMERA,3,Other
8/31,Thursday,GMAIL,3,Other
8/31,Thursday,PLAY STORE,3,Entertainment
8/31,Thursday,MAPS,1,Travel
